name,A,B,C,D,E,F,G,H,I,J,K,L,Photo,Type,icon_url
Moufa 676,cable 57 8x12 1998,cable 57 8x12 1998,cable 57 8x12 1998,cable 57 8x12 1998,cable 57 8x12 1998,cable 57 8x12 1998,cable 57 8x12 1998,cable 57 8x12 1998,cable 57 8x12 1998,cable 57 8x12 1998,cable 57 8x12 1998,cable 57 8x12 1998,C:\Users\gas19\OneDrive\Υπολογιστής\Gekas Qgis\Moufa.jpg,TypeC,./0.png
Moufa 1606,cable 1196 9x12 235,cable 1196 9x12 235,cable 460 8x12 2156,cable 460 8x12 2156,cable 858 9x12 2867,cable 1196 9x12 235,cable 1196 9x12 235,cable 1196 9x12 235,cable 1196 9x12 235,cable 1196 9x12 235,cable 1196 9x12 235,cable 1196 9x12 235,C:\Users\gas19\OneDrive\Υπολογιστής\Gekas Qgis\Moufa.jpg,TypeC,./0.png
